Unnamed: 0.1,Unnamed: 0,name,company,year,Price,kms_driven,fuel_type
0,0,Hyundai Santro Xing,Hyundai,2007,80000.0,45000,Petrol
1,1,Mahindra Jeep CL550,Mahindra,2006,425000.0,40,Diesel
2,2,Hyundai Grand i10,Hyundai,2014,325000.0,28000,Petrol
3,3,Ford EcoSport Titanium,Ford,2014,575000.0,36000,Diesel
4,4,Ford Figo,Ford,2012,175000.0,41000,Diesel
5,5,Hyundai Eon,Hyundai,2013,190000.0,25000,Petrol
6,6,Ford EcoSport Ambiente,Ford,2016,830000.0,24530,Diesel
7,7,Maruti Suzuki Alto,Maruti,2015,250000.0,60000,Petrol
8,8,Skoda Fabia Classic,Skoda,2010,182000.0,60000,Petrol
9,9,Maruti Suzuki Stingray,Maruti,2015,315000.0,30000,Petrol
10,10,Hyundai Elite i20,Hyundai,2014,415000.0,32000,Petrol
11,11,Mahindra Scorpio SLE,Mahindra,2015,320000.0,48660,Diesel
12,12,Hyundai Santro Xing,Hyundai,2007,80000.0,45000,Petrol
13,13,Mahindra Jeep CL550,Mahindra,2006,425000.0,40,Diesel
14,14,Audi A8,Audi,2017,1000000.0,4000,Petrol
15,15,Audi Q7,Audi,2014,500000.0,16934,Diesel
16,16,Mahindra Scorpio S10,Mahindra,2016,350000.0,43000,Diesel
17,17,Maruti Suzuki Alto,Maruti,2014,160000.0,35550,Petrol
18,18,Mahindra Scorpio S10,Mahindra,2016,350000.0,43000,Diesel
19,19,Mahindra Scorpio S10,Mahindra,2016,310000.0,39522,Diesel
20,20,Maruti Suzuki Alto,Maruti,2015,75000.0,39000,Petrol
21,21,Hyundai i20 Sportz,Hyundai,2012,100000.0,55000,Petrol
22,22,Hyundai i20 Sportz,Hyundai,2012,100000.0,55000,Petrol
23,23,Hyundai i20 Sportz,Hyundai,2012,100000.0,55000,Petrol
24,24,Maruti Suzuki Alto,Maruti,2017,190000.0,72000,Petrol
25,25,Maruti Suzuki Vitara,Maruti,2016,290000.0,15975,Diesel
26,26,Maruti Suzuki Alto,Maruti,2008,95000.0,70000,Petrol
27,27,Mahindra Bolero DI,Mahindra,2017,180000.0,23452,Diesel
28,28,Maruti Suzuki Swift,Maruti,2014,385000.0,35522,Diesel
29,29,Mahindra Scorpio S10,Mahindra,2015,250000.0,48508,Diesel
30,30,Maruti Suzuki Swift,Maruti,2017,180000.0,15487,Petrol
31,31,Maruti Suzuki Wagon,Maruti,2013,105000.0,39000,Petrol
32,32,Maruti Suzuki Wagon,Maruti,2013,105000.0,39000,Petrol
33,33,Toyota Innova 2.0,Toyota,2012,650000.0,82000,Diesel
34,34,Renault Lodgy 85,Renault,2018,689999.0,20000,Diesel
35,35,Skoda Yeti Ambition,Skoda,2012,448000.0,68000,Diesel
36,36,Maruti Suzuki Baleno,Maruti,2017,549000.0,32000,Diesel
37,37,Renault Duster 110,Renault,2012,501000.0,38000,Diesel
38,38,Renault Duster 85,Renault,2013,489999.0,27000,Diesel
39,39,Honda City 1.5,Honda,2011,280000.0,33000,Petrol
40,40,Maruti Suzuki Alto,Maruti,2015,250000.0,60000,Petrol
41,41,Maruti Suzuki Dzire,Maruti,2013,349999.0,46000,Diesel
42,42,Honda Amaze,Honda,2013,284999.0,46000,Diesel
43,43,Honda Amaze 1.5,Honda,2015,345000.0,36000,Diesel
44,44,Honda City,Honda,2015,499999.0,55000,Petrol
45,45,Datsun Redi GO,Datsun,2017,235000.0,16000,Petrol
46,46,Maruti Suzuki SX4,Maruti,2010,249999.0,36000,Petrol
47,47,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000.0,47000,Diesel
48,48,Mahindra Bolero DI,Mahindra,2017,180000.0,23452,Diesel
49,49,Maruti Suzuki Swift,Maruti,2014,385000.0,35522,Diesel
50,50,Mahindra Scorpio S10,Mahindra,2015,250000.0,48508,Diesel
51,51,Maruti Suzuki Swift,Maruti,2017,180000.0,15487,Petrol
52,52,Maruti Suzuki Wagon,Maruti,2013,105000.0,39000,Petrol
